image,gsd,model,inference_ms,precision,recall,f1,mean_iou,area_rmse
0.03m_01_20.png,0.03,YOLOv8,259.9813938140869,0.4545454132231443,0.99999980000004,0.6249994921877876,0.8841806350200978,2.016350206189391
0.03m_01_20.png,0.03,YOLOv11,218.186616897583,0.8333331944444675,0.99999980000004,0.9090902479341832,0.9112902812143501,1.905768435566083
0.03m_01_20.png,0.03,YOLOv11_Ablation,240.16213417053223,0.57142848979593,0.799999840000032,0.6666660694448128,0.856179159892702,3.185871257992075
0.03m_01_20.png,0.03,Hybrid_v8+SAM,731.6339015960693,0.3636363305785154,0.799999840000032,0.49999950781285957,0.7778619781206231,6.465899674639255
0.03m_01_20.png,0.03,Hybrid_v11+SAM,202.3305892944336,0.6666665555555741,0.799999840000032,0.7272720991739144,0.7717786673902726,4.875045108252846
0.03m_01_20.png,0.03,Mask_RCNN,114.49432373046875,0.6666665555555741,0.799999840000032,0.7272720991739144,0.8807514237527276,0.8820005739794041
0.03m_01_20.png,0.03,Watershed,77.19278335571289,0.0,0.0,0.0,0.0,0.0
0.03m_01_27.png,0.03,YOLOv8,38.1929874420166,0.7142856122449125,0.99999980000004,0.8333327083336354,0.8928804455582793,1.825947805387655
0.03m_01_27.png,0.03,YOLOv11,43.88928413391113,0.8333331944444675,0.99999980000004,0.9090902479341832,0.9212915914654559,2.643396709160392
0.03m_01_27.png,0.03,YOLOv11_Ablation,46.417951583862305,0.7142856122449125,0.99999980000004,0.8333327083336354,0.8995178487545988,2.338099224156237
0.03m_01_27.png,0.03,Hybrid_v8+SAM,192.87824630737305,0.7142856122449125,0.99999980000004,0.8333327083336354,0.823361542095055,6.165385148553172
0.03m_01_27.png,0.03,Hybrid_v11+SAM,195.80602645874023,0.8333331944444675,0.99999980000004,0.9090902479341832,0.8445955508727833,6.777925956662554
0.03m_01_27.png,0.03,Mask_RCNN,44.65985298156738,0.99999980000004,0.99999980000004,0.99999930000029,0.8946955248025864,2.6689259558856233
0.03m_01_27.png,0.03,Watershed,47.7447509765625,0.0,0.0,0.0,0.0,0.0
0.03m_sample_01.png,0.03,YOLOv8,37.88924217224121,0.6666665555555741,0.9999997500000625,0.7999993600003121,0.7641962715877596,4.093237005109771
0.03m_sample_01.png,0.03,YOLOv11,43.95651817321777,0.33333322222225925,0.24999993750001562,0.28571371428657144,0.9014870680280053,1.5714000000000041
0.03m_sample_01.png,0.03,YOLOv11_Ablation,42.859554290771484,0.49999987500003124,0.49999987500003124,0.4999993750005312,0.7205818604898158,10.528914501742333
0.03m_sample_01.png,0.03,Hybrid_v8+SAM,190.9477710723877,0.6666665555555741,0.9999997500000625,0.7999993600003121,0.5769229684003512,15.373148715129899
0.03m_sample_01.png,0.03,Hybrid_v11+SAM,200.02150535583496,0.33333322222225925,0.24999993750001562,0.28571371428657144,0.6062674249892658,13.940099999999997
0.03m_sample_01.png,0.03,Mask_RCNN,40.11869430541992,0.99999950000025,0.49999987500003124,0.6666660000003334,0.818649089099184,2.02285186061659
0.03m_sample_01.png,0.03,Watershed,45.89486122131348,0.0,0.0,0.0,0.0,0.0
0.03m_sample_07.png,0.03,YOLOv8,37.76979446411133,0.8749998906250137,0.9999998571428775,0.9333327111113927,0.8571696844824858,2.399601746421387
0.03m_sample_07.png,0.03,YOLOv11,44.584035873413086,0.9999998571428775,0.9999998571428775,0.9999993571431276,0.8808055816402349,2.2221017184509924
0.03m_sample_07.png,0.03,YOLOv11_Ablation,45.72105407714844,0.9999998571428775,0.9999998571428775,0.9999993571431276,0.8773368483584062,2.8081415280267787
0.03m_sample_07.png,0.03,Hybrid_v8+SAM,195.94049453735352,0.8749998906250137,0.9999998571428775,0.9333327111113927,0.7818291853634113,7.354831812391868
0.03m_sample_07.png,0.03,Hybrid_v11+SAM,198.32563400268555,0.9999998571428775,0.9999998571428775,0.9999993571431276,0.7917261430242243,7.02107110784591
0.03m_sample_07.png,0.03,Mask_RCNN,40.66824913024902,0.9999998571428775,0.9999998571428775,0.9999993571431276,0.8371164925837196,3.4682638097880782
0.03m_sample_07.png,0.03,Watershed,42.35696792602539,0.0,0.0,0.0,0.0,0.0
0.04m_01_20.png,0.04,YOLOv8,40.64226150512695,0.8461537810650938,0.9999999090909174,0.9166660937502749,0.8967161021000861,1.6438488937413158
0.04m_01_20.png,0.04,YOLOv11,48.583984375,0.7999999200000081,0.7272726611570308,0.7619041904765239,0.9021086571992867,1.6225159721864069
0.04m_01_20.png,0.04,YOLOv11_Ablation,47.655582427978516,0.8999999100000091,0.8181817438016598,0.857142276644289,0.8809041517528683,2.604548827638973
0.04m_01_20.png,0.04,Hybrid_v8+SAM,197.8466510772705,0.8461537810650938,0.9999999090909174,0.9166660937502749,0.8278743148263299,5.545156967038076
0.04m_01_20.png,0.04,Hybrid_v11+SAM,202.16965675354004,0.7999999200000081,0.7272726611570308,0.7619041904765239,0.8493344615893446,4.5186207099069495
0.04m_01_20.png,0.04,Mask_RCNN,52.95205116271973,0.7499999375000053,0.8181817438016598,0.7826081285447475,0.8951795736427341,2.5629786005089206
0.04m_01_20.png,0.04,Watershed,56.18906021118164,0.0,0.0,0.0,0.0,0.0
0.04m_01_27.png,0.04,YOLOv8,39.33429718017578,0.5384614970414233,0.9999998571428775,0.6999994750002938,0.8951671276603561,2.450092327123322
0.04m_01_27.png,0.04,YOLOv11,45.18580436706543,0.6666665925926009,0.857142734693895,0.7499994140628329,0.9007895629364379,2.023280715405883
0.04m_01_27.png,0.04,YOLOv11_Ablation,46.114444732666016,0.636363578512402,0.9999998571428775,0.7777772160496772,0.8822006062936902,3.375498134667365
0.04m_01_27.png,0.04,Hybrid_v8+SAM,194.21982765197754,0.5384614970414233,0.9999998571428775,0.6999994750002938,0.7941557418215713,5.656111180964229
0.04m_01_27.png,0.04,Hybrid_v11+SAM,202.09932327270508,0.6666665925926009,0.857142734693895,0.7499994140628329,0.8037352035210414,5.589857939757204
0.04m_01_27.png,0.04,Mask_RCNN,40.87018966674805,0.9999998333333611,0.857142734693895,0.9230762840239572,0.8859051333594353,4.2876188885363105
0.04m_01_27.png,0.04,Watershed,50.14848709106445,0.0,0.0,0.0,0.0,0.0
0.04m_sample_01.png,0.04,YOLOv8,38.373708724975586,0.57142848979593,0.9999997500000625,0.7272721322317101,0.8593212426239437,7.306347311755717
0.04m_sample_01.png,0.04,YOLOv11,44.16465759277344,0.7499998125000469,0.7499998125000469,0.7499993125003803,0.898923749656459,1.7503729431181205
0.04m_sample_01.png,0.04,YOLOv11_Ablation,43.45703125,0.7499998125000469,0.7499998125000469,0.7499993125003803,0.8743230766790075,1.9175083832932787
0.04m_sample_01.png,0.04,Hybrid_v8+SAM,190.1841163635254,0.4285713673469475,0.7499998125000469,0.5454539834714716,0.653845909165289,15.222437810898313
0.04m_sample_01.png,0.04,Hybrid_v11+SAM,204.5302391052246,0.7499998125000469,0.7499998125000469,0.7499993125003803,0.6822344513783714,9.778227438549383
0.04m_sample_01.png,0.04,Mask_RCNN,35.93611717224121,0.6666664444445185,0.49999987500003124,0.5714279183678077,0.8771815068564714,2.410536869662023
0.04m_sample_01.png,0.04,Watershed,55.93991279602051,0.0,0.0,0.0,0.0,0.0
0.04m_sample_07.png,0.04,YOLOv8,40.566205978393555,0.699999930000007,0.8749998906250137,0.777777197531186,0.8621448370123775,3.0707099076830513
0.04m_sample_07.png,0.04,YOLOv11,46.849966049194336,0.8749998906250137,0.8749998906250137,0.8749993906252995,0.8788187250886298,3.3002581647934313
0.04m_sample_07.png,0.04,YOLOv11_Ablation,46.78654670715332,0.8888887901234679,0.9999998750000157,0.9411758615919721,0.8397712538505275,5.171089509958225
0.04m_sample_07.png,0.04,Hybrid_v8+SAM,193.0394172668457,0.699999930000007,0.8749998906250137,0.777777197531186,0.805861266602852,6.148137535407427
0.04m_sample_07.png,0.04,Hybrid_v11+SAM,211.06529235839844,0.8749998906250137,0.8749998906250137,0.8749993906252995,0.7879746060919313,7.490084520598835
0.04m_sample_07.png,0.04,Mask_RCNN,48.900604248046875,0.9999998750000157,0.9999998750000157,0.9999993750002658,0.8445171421190286,6.797712321068025
0.04m_sample_07.png,0.04,Watershed,50.803422927856445,0.0,0.0,0.0,0.0,0.0
0.05m_01_20.png,0.05,YOLOv8,41.49031639099121,0.46666663555555765,0.699999930000007,0.5599994752004118,0.9113483583330945,2.2065707476275747
0.05m_01_20.png,0.05,YOLOv11,48.553466796875,0.4999999583333368,0.599999940000006,0.5454540000004546,0.9234142353030786,2.2289078510188207
0.05m_01_20.png,0.05,YOLOv11_Ablation,48.22850227355957,0.5384614970414233,0.699999930000007,0.6086951077508727,0.901274925099922,2.5325304962202786
0.05m_01_20.png,0.05,Hybrid_v8+SAM,199.3875503540039,0.46666663555555765,0.699999930000007,0.5599994752004118,0.866759193030293,3.8155580241577116
0.05m_01_20.png,0.05,Hybrid_v11+SAM,205.90448379516602,0.4999999583333368,0.599999940000006,0.5454540000004546,0.8619747240040541,3.9018319682340694
0.05m_01_20.png,0.05,Mask_RCNN,57.84010887145996,0.6666666222222252,0.99999990000001,0.79999945600029,0.9040556229623282,2.711261007354327
0.05m_01_20.png,0.05,Watershed,53.73096466064453,0.0,0.0,0.0,0.0,0.0
0.05m_01_27.png,0.05,YOLOv8,41.678428649902344,0.6428570969387788,0.7499999375000053,0.6923071420121949,0.9204346591363739,2.1756952911655634
0.05m_01_27.png,0.05,YOLOv11,47.4545955657959,0.7499999062500118,0.4999999583333368,0.5999994600003861,0.9244063187883963,1.9788054056256623
0.05m_01_27.png,0.05,YOLOv11_Ablation,48.12026023864746,0.7857142295918408,0.9166665902777842,0.8461532840239653,0.8872302350169182,3.434177154322813
0.05m_01_27.png,0.05,Hybrid_v8+SAM,202.82983779907227,0.6428570969387788,0.7499999375000053,0.6923071420121949,0.8413257893018592,3.3885691219812
0.05m_01_27.png,0.05,Hybrid_v11+SAM,199.66959953308105,0.7499999062500118,0.4999999583333368,0.5999994600003861,0.8638831743691983,1.7300361267904203
0.05m_01_27.png,0.05,Mask_RCNN,53.589820861816406,0.8333332638888947,0.8333332638888947,0.8333327638891949,0.8892312216925233,3.735163651033245
0.05m_01_27.png,0.05,Watershed,56.529998779296875,0.0,0.0,0.0,0.0,0.0
0.05m_sample_01.png,0.05,YOLOv8,40.18521308898926,0.0,0.0,0.0,0.0,0.0
0.05m_sample_01.png,0.05,YOLOv11,44.5864200592041,0.0,0.0,0.0,0.0,0.0
0.05m_sample_01.png,0.05,YOLOv11_Ablation,44.698238372802734,0.0,0.0,0.0,0.0,0.0
0.05m_sample_01.png,0.05,Hybrid_v8+SAM,192.32535362243652,0.0,0.0,0.0,0.0,0.0
0.05m_sample_01.png,0.05,Hybrid_v11+SAM,199.9049186706543,0.0,0.0,0.0,0.0,0.0
0.05m_sample_01.png,0.05,Mask_RCNN,40.28916358947754,0.0,0.0,0.0,0.0,0.0
0.05m_sample_01.png,0.05,Watershed,61.121463775634766,0.0,0.0,0.0,0.0,0.0
0.05m_sample_07.png,0.05,YOLOv8,42.90032386779785,0.0,0.0,0.0,0.0,0.0
0.05m_sample_07.png,0.05,YOLOv11,48.13671112060547,0.0,0.0,0.0,0.0,0.0
0.05m_sample_07.png,0.05,YOLOv11_Ablation,47.088623046875,0.0,0.0,0.0,0.0,0.0
0.05m_sample_07.png,0.05,Hybrid_v8+SAM,195.10173797607422,0.0,0.0,0.0,0.0,0.0
0.05m_sample_07.png,0.05,Hybrid_v11+SAM,202.4688720703125,0.0,0.0,0.0,0.0,0.0
0.05m_sample_07.png,0.05,Mask_RCNN,49.6058464050293,0.0,0.0,0.0,0.0,0.0
0.05m_sample_07.png,0.05,Watershed,51.407814025878906,0.0,0.0,0.0,0.0,0.0
0.06m_01_20.png,0.06,YOLOv8,42.24371910095215,0.7058823114186875,0.7999999466666703,0.7499994550784586,0.8913130130153727,2.9832871869801623
0.06m_01_20.png,0.06,YOLOv11,49.91888999938965,0.7222221820987677,0.8666666088888928,0.7878782442611042,0.9115070741985171,2.270780493405466
0.06m_01_20.png,0.06,YOLOv11_Ablation,49.6830940246582,0.8124999492187531,0.8666666088888928,0.8387091238296455,0.8797754546810277,3.6744841371063446
0.06m_01_20.png,0.06,Hybrid_v8+SAM,204.10537719726562,0.7058823114186875,0.7999999466666703,0.7499994550784586,0.8394135542741923,3.9497262639327313
0.06m_01_20.png,0.06,Hybrid_v11+SAM,205.83677291870117,0.7222221820987677,0.8666666088888928,0.7878782442611042,0.8438832501187472,3.5278383636442308
0.06m_01_20.png,0.06,Mask_RCNN,63.46559524536133,0.7368420664819965,0.9333332711111153,0.8235288702425119,0.8859915466240296,2.435172209809518
0.06m_01_20.png,0.06,Watershed,55.339813232421875,0.0,0.0,0.0,0.0,0.0
0.06m_01_27.png,0.06,YOLOv8,40.843963623046875,0.7692307100591762,0.6249999609375024,0.6896546302024977,0.9171379199912376,2.2702574479560678
0.06m_01_27.png,0.06,YOLOv11,48.91633987426758,0.8124999492187531,0.8124999492187531,0.8124994492190609,0.9037300052953287,2.0809648058237125
0.06m_01_27.png,0.06,YOLOv11_Ablation,49.38220977783203,0.8461537810650938,0.6874999570312527,0.7586201426876025,0.8872740892999158,3.257007724332817
0.06m_01_27.png,0.06,Hybrid_v8+SAM,194.54360008239746,0.7692307100591762,0.6249999609375024,0.6896546302024977,0.8327796619687838,2.498819618940109
0.06m_01_27.png,0.06,Hybrid_v11+SAM,208.5249423980713,0.8124999492187531,0.8124999492187531,0.8124994492190609,0.8360584657736934,3.037956201639011
0.06m_01_27.png,0.06,Mask_RCNN,58.214426040649414,0.7333332844444478,0.6874999570312527,0.7096768740898447,0.9115030702669358,3.464734133837952
0.06m_01_27.png,0.06,Watershed,60.96506118774414,0.0,0.0,0.0,0.0,0.0
0.06m_sample_01.png,0.06,YOLOv8,39.385080337524414,0.0,0.0,0.0,0.0,0.0
0.06m_sample_01.png,0.06,YOLOv11,48.177242279052734,0.0,0.0,0.0,0.0,0.0
0.06m_sample_01.png,0.06,YOLOv11_Ablation,44.872283935546875,0.0,0.0,0.0,0.0,0.0
0.06m_sample_01.png,0.06,Hybrid_v8+SAM,193.0551528930664,0.0,0.0,0.0,0.0,0.0
0.06m_sample_01.png,0.06,Hybrid_v11+SAM,201.16496086120605,0.0,0.0,0.0,0.0,0.0
0.06m_sample_01.png,0.06,Mask_RCNN,38.443803787231445,0.0,0.0,0.0,0.0,0.0
0.06m_sample_01.png,0.06,Watershed,55.28831481933594,0.0,0.0,0.0,0.0,0.0
0.06m_sample_07.png,0.06,YOLOv8,40.819644927978516,0.0,0.0,0.0,0.0,0.0
0.06m_sample_07.png,0.06,YOLOv11,46.549320220947266,0.0,0.0,0.0,0.0,0.0
0.06m_sample_07.png,0.06,YOLOv11_Ablation,46.00024223327637,0.0,0.0,0.0,0.0,0.0
0.06m_sample_07.png,0.06,Hybrid_v8+SAM,191.65706634521484,0.0,0.0,0.0,0.0,0.0
0.06m_sample_07.png,0.06,Hybrid_v11+SAM,202.07905769348145,0.0,0.0,0.0,0.0,0.0
0.06m_sample_07.png,0.06,Mask_RCNN,46.43082618713379,0.0,0.0,0.0,0.0,0.0
0.06m_sample_07.png,0.06,Watershed,54.07285690307617,0.0,0.0,0.0,0.0,0.0
0.08m_01_20.png,0.08,YOLOv8,53.56121063232422,0.5499999725000013,0.6470587854671302,0.5945940657418335,0.8807003981203426,3.1606099296295236
0.08m_01_20.png,0.08,YOLOv11,50.86183547973633,0.639999974400001,0.9411764152249167,0.761904243764477,0.8990216682829365,3.2547417716310476
0.08m_01_20.png,0.08,YOLOv11_Ablation,52.30283737182617,0.6956521436672981,0.9411764152249167,0.7999994712502996,0.8843734789621478,3.233114659272077
0.08m_01_20.png,0.08,Hybrid_v8+SAM,199.68461990356445,0.5499999725000013,0.6470587854671302,0.5945940657418335,0.8495242661707657,4.308989605253399
0.08m_01_20.png,0.08,Hybrid_v11+SAM,209.80501174926758,0.639999974400001,0.9411764152249167,0.761904243764477,0.8536394311671186,4.127534857514835
